owner_id,games,wins,losses,ties,win_pct,points_for,points_against,avg_points_for,avg_points_against
owner_joe,195,117,78,0,0.6,18505.68,17789.68,94.9,91.23
ben_mccoy,199,109,90,0,0.5477,18647.54,18008.22,93.71,90.49
owner_alex,55,30,25,0,0.5455,4605.4,4712.64,83.73,85.68
owner_cliff,144,78,66,0,0.5417,13167.92,12805.12,91.44,88.92
owner_travis,13,7,6,0,0.5385,1274.78,1102.8,98.06,84.83
owner_david,194,102,92,0,0.5258,18199.24,17757.1,93.81,91.53
owner_taylor,102,53,49,0,0.5196,9325.52,9399.72,91.43,92.15
owner_chris_c,192,97,95,0,0.5052,17201.28,17293.06,89.59,90.07
owner_chris_d,141,70,71,0,0.4965,12191.86,12159.74,86.47,86.24
owner_jeff,191,92,99,0,0.4817,16989.08,17249.96,88.95,90.31
owner_kyle,191,91,100,0,0.4764,17243.88,17470.1,90.28,91.47
owner_justin,52,24,28,0,0.4615,4492.28,4626.48,86.39,88.97
owner_grant,196,90,106,0,0.4592,18331.82,18237.82,93.53,93.05
owner_john,141,63,78,0,0.4468,12594.68,12601.16,89.32,89.37
owner_ryan,92,41,51,0,0.4457,8014.98,8437.96,87.12,91.72
owner_james,172,76,96,0,0.4419,14704.76,15437.58,85.49,89.75
owner_mckinley,38,16,22,0,0.4211,3069.2,3270.46,80.77,86.06
owner_victor,12,4,8,0,0.3333,887.7,1088.0,73.98,90.67
